,text
0,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
2,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
3,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
4,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
5,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
6,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
7,""" &amp; you might not get ya bitch back &amp; thats that """
8,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
9,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
10,""" Murda Gang bitch its Gang Land """
11,""" So hoes that smoke are losers ? "" yea ... go on IG"
12,""" bad bitches is the only thing that i like """
13,""" bitch get up off me """
14,""" bitch nigga miss me with it """
15,""" bitch plz whatever """
16,""" bitch who do you love """
17,""" bitches get cut off everyday B """
18,""" black bottle &amp; a bad bitch """
19,""" broke bitch cant tell me nothing """
20,""" cancel that bitch like Nino """
21,""" cant you see these hoes wont change """
22,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
23,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q"
24,""" her pussy lips like Heaven doors "" &#128524;"
25,""" hoe what its hitting for """
26,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;"
27,""" i need a trippy bitch who fuck on Hennessy """
28,""" i spend my money how i want bitch its my business """
29,""" i txt my old bitch my new bitch pussy wetter """
30,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
31,""" if you aint bout that Murder Game pussy nigga shut up """
32,""" if you're toes ain't done you pussy stinks """
33,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
34,""" is that ya bitch """
35,""" it aint nothing to cut a bitch off """
36,""" jus meet son now he ya mane ass bitches "" #Shots"
37,""" lames crying over hoes thats tears of a clown """
38,""" like Snoop said in 94 we dont love these hoes """
39,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
40,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
41,""" pimps up pimps up hoes down "" Future voice"
42,""" post a picture of that pussy get 200 likes """
43,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
44,""" quick piece of pussy call it a drive by """
45,""" running round here like some brand new pussy thats bout to get fucked """
46,""" these bitches even worst they'll send them guys for you """
47,""" these hoes like niggas that spend money not talk bout it """
48,""" we dont trust these niggas all these bitches """
49,""" yall niggas b cuffing hoes cause yall aint never have bitches """
50,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"
51,""" young Pill Chamberlain these bitches love my music """
52,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
53,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
54,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
55,"""&amp; he's gone always be a hoe"""
56,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
57,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
58,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"
59,"""@A7XDemery: I'm a fucking fag they said"""
60,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
61,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
62,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"
63,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
64,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
65,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
66,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
67,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
68,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
69,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"
70,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
71,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
72,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
73,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
74,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."
75,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
76,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
77,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
78,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
79,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"
80,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
81,"""@CASHandBOOBIES: I been kidnapped yo bitch"""
82,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican"
83,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo"
84,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
85,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
86,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
87,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
88,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it."""
89,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
90,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard"
